aah	ah
abandon	abandon
abase	abás
abate	abát
abattoir	abatwar
abbey	abé
abbot	abot
abbreviate	abréviát
abbreviation	abréviásion
abdicate	abdikát
abdominal	abdominal
abduct	abdukt
abduction	abduksion
abductor	abduktor
aberration	aberásion
abet	abet
abhor	abhor
abide	abiʸd
ability	abilité
abjure	abjúr
able	ábel
ablution	ablúsion
abnormality	abnormalité
abode	aboʷd
abolish	abolix
abolitionist	abolisionist
abomination	abominásion
aborigine	aborijiné
abort	abort
abortion	aborsion
abound	abqʷnd
abrade	abrád
abrasion	abrázion
abrasive	abrásiv
abridge	abrij
abrogate	abrogát
abscess	abses
abscond	abskond
absence	absens
absent	absent
absentee	absenté
absolute	absolút
absolve	abzolv
absorb	abzorb
abstain	abstán
abstention	abstension
abstract	abstrakt
abstraction	abstraksion
absurdity	absurdité
abundance	abundans
abuse	abús
abuse	abúzer
abuse	abúz
abut	abut
abutment	abutment
abyssinian	abisinian
academic	akademik
academician	akademisian
academy	akademé
accede	akséd
accelerate	akselerát
acceleration	akselerásion
accent	aksent
accentuate	aksentúát
accept	aksept
acceptance	akseptans
access	akses
accession	aksesion
accessory	aksesoré
accident	aksident
accidental	aksidental
acclaim	aklám
acclamation	aklamásion
acclimatise	aklimatíz
acclimatize	aklimatíz
accolade	akolád
accommodate	akomodát
accommodation	akomodásion
accompany	akumpané
accomplice	akomplis
accomplish	akomplix
accord	akord
accordion	akordion
accost	akost
account	akq́nt
accountability	akq́ntabilité
accountant	akq́ntant
accoutrement	akq̇trement
accredit	akredit
accrete	akrét
accretion	akrésion
accrual	akrúal
accrue	akrú
accumulate	akúmúlát
accumulation	akúmúlásion
accusation	akúzásion
accuse	akúz
accustom	akustom
ace	aʸs
acer	aʸser
ache	aʸk
achieve	acév
achievement	acévment
achiever	acéver
acid	asid
acidify	asidifí
acknowledge	aknolej
acknowledgement	aknolejment
acknowledgment	aknolejment
acolyte	akolít
acorn	ákorn
acoustic	akq̇stic
acquaint	akwánt
acquaintance	akwántans
acquiesce	akwies
acquire	akwír
acquirer	akwírer
acquisition	akwizision
acquit	akwit
acquittal	akwital
acre	áker
acrobat	akrobat
acrobatic	akrobatik
acronym	akronim
acrylic	akrilik
act	akt
action	aksion
activate	aktivát
activator	aktivátor
active	aktiv
activist	aktivist
activity	aktivité
actor	aktor
actress	aktres
actual	aktúal
actuality	aktúalité
actualize	aktúalíz
actuary	aktúaré
actuate	aktúát
acupuncturist	akúpuŋktúrist
ad	ad
adapt	adapt
adaptation	adaptásion
adapter	adapter
adaptor	adaptor
add	ad
adder	ader
addict	adikt
addiction	adiksion
addition	adision
additive	aditiv
addle	adel
address	adres
addressee	adresé
adduce	adús
adduct	adukt
adenoid	adenoʸd
adept	adept
adhere	adhér
adherent	adhérent
adhesion	adhézion
adhesive	adhésiv
adjective	ajektiv
adjoin	ajoʸn
adjourn	ajurn
adjudge	ajuj
adjudicate	ajúdikát
adjudication	ajúdikásion
adjudicator	ajúdikátor
adjunct	ajuŋkt
adjust	ajust
adjuster	ajuster
adjustment	ajustment
adman	adman
administer	administer
administrate	administrát
administration	administrásion
administrator	administrátor
admiral	admiral
admire	admír
admirer	admírer
admission	admision
admit	admit
admonish	admonix
admonition	admonision
adolescent	adolesent
adopt	adopt
adoptee	adopté
adopter	adopter
adoption	adopsion
adore	adór
adorn	adorn
adornment	adornment
adult	adult
adulterate	adulterát
adulterer	adulterer
advance	advans
advancement	advansment
advantage	advantaj
adventure	adventúr
adventurer	adventúrer
adverb	adverb
adverbial	adverbial
adversary	adversaré
advert	advert
advertise	advertíz
advertisement	advertisment
advertiser	advertízer
advise	advíz
adviser	advízer
advisor	advízer
advocate	advokát
adze	adz
aeon	éon
